"","CLM_AMT5","KIDSDRIV","TRAVTIME","CAR_USE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","REVOLKED","MVR_PTS","AGE","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","AREA","CAR_TYPE_2","CAR_TYPE_3","CAR_TYPE_4","CAR_TYPE_5","CAR_TYPE_6","JOBCLASS_2","JOBCLASS_3","JOBCLASS_4","JOBCLASS_5","JOBCLASS_6","JOBCLASS_7","JOBCLASS_8","JOBCLASS_9","MAX_EDUC_2","MAX_EDUC_3","MAX_EDUC_4","MAX_EDUC_5"
"1",4.461,0,-1.2238010426268,1,0.115740701497006,1.38001660842641,1,3,2,1,3,1.76187614881205,0,0.130784153481255,0.394220050285875,2,1,1,8,5,-1.21199556372061,1.73146756474033,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2",0,0,-0.719710166691228,2,0.192333086566928,-1.05292991652322,1,3,2,1,0,-0.213404119688679,0,0.130784153481255,0.518442484861261,2,1,1,2,3,0.802232688985239,-1.30659516563672,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"3",0,0,-0.467664728723443,1,0.798964828672182,-1.05292991652322,1,6,2,1,2,0.367560665164478,0,0.130784153481255,0.296011842926444,2,1,1,7,2,-1.21199556372061,0.301790985739365,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"4",38.69,0,-1.79090327805431,1,-1.87664796008794,-0.32304595903833,1,5,1,1,3,-1.14294777545373,1,-0.118364619919922,-0.188356159563144,1,2,1,3,3,-0.239606540771162,0.301790985739365,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"5",0,0,-0.0895965717717652,1,0.244117533201079,0.40683799844656,1,3,2,1,0,0.716139536076371,0,0.878230473684785,0.416428023803181,2,2,1,2,1,1.18588440074777,-0.413047303761119,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",19.217,0,0.16244886619602,1,0.485442450307369,-1.05292991652322,1,5,1,2,3,0.59994657910574,0,0.314242726053057,0.611453294934424,1,2,1,4,5,0.697885123470449,1.55275799236521,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"7",0,0,0.792562461115482,2,0.434822808933436,-1.05292991652322,1,4,1,1,0,-1.25914073242436,1,0.379932926882431,0.646342032092229,1,1,2,2,2,-1.21199556372061,-0.234337731385998,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"8",0,0,-0.026585212279819,1,-0.643856780582819,-1.05292991652322,1,5,1,1,0,1.06471840698827,0,0.263246621415336,-0.124856009748228,1,2,1,2,1,0.0738864560137533,-1.30659516563672,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",3.295,1,-0.782721526183174,1,0.564687722153214,0.163543345951597,1,3,1,1,2,-0.561982990600573,1,0.130784153481255,0.279828899778054,2,1,2,7,3,-1.21199556372061,-1.30659516563672,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"10",0,0,-0.215619290755658,2,-1.26918972273906,1.13672195593145,1,5,1,1,0,-0.0972111627180477,2,0.379932926882431,0.216583612823523,1,1,2,2,3,-1.21199556372061,0.301790985739365,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
