ACV,SEX,STATUT,CSP,USAGE,AGECOND,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE
10,F,C,CSP_50,PriveTrajet,40,N,64,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,63,N,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,20,N,95,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_50,Prive,56,N,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_50,Prive,29,N,95,CAR_BERLINE,A,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,43,O,50,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,21,N,90,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
9,F,A,CSP_50,Professionnel,35,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_AUTRE,Prive,31,N,72,CAR_BERLINE,A,CAR,ES,150-160,0,0.0,GarageAutre
10,M,C,CSP_AUTRE,PriveTrajet,48,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,179.2586103,ClosCollectif
10,M,C,CSP_AUTRE,PriveTrajet,19,N,95,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,39,N,60,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,29,O,57,CAR_BERLINE,A,CAR,ES,150-160,A,0.0,IndividuelClos
7,F,C,CSP_50,PriveTrajet,39,N,100,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,36,O,61,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,C,CSP_50,Prive,60,N,95,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,Prive,56,N,85,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,57,N,51,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,ClosCollectif
10,F,A,CSP_AUTRE,Prive,57,N,85,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,35,N,85,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
7,F,C,CSP_AUTRE,PriveTrajet,57,N,80,CAR_BERLINE,A,INJ,ES,140-150,B,0.0,GarageAutre
5,F,A,CSP_AUTRE,Prive,39,N,90,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
9,F,C,CSP_AUTRE,PriveTrajet,41,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
9,F,A,CSP_AUTRE,PriveTrajet,58,N,52,CAR_BERLINE,A,INJ,ES,130-140,A,488.0655589,GarageAutre
10,F,C,CSP_50,PriveTrajet,30,O,68,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,32,N,90,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_50,Prive,60,O,50,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,IndividuelClos
10,F,C,CSP_60,Prive,72,N,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
9,F,A,CSP_60,Prive,72,O,50,CAR_BERLINE,A,INJ,ES,150-160,B,0.0,GarageAutre
